iso,year,pop
ALB,2010,2913021.0
ALB,2011,2905195.0
ALB,2012,2900401.0
ALB,2013,2895092.0
ALB,2014,2889104.0
ALB,2015,2880703.0
ALB,2016,2876101.0
ALB,2017,2873457.0
ALB,2018,2866376.0
AND,1960,13411.0
AND,1961,14375.0
AND,1962,15370.0
AND,1963,16412.0
AND,1964,17469.0
AND,1965,18549.0
AND,1966,19647.0
AND,1967,20758.0
AND,1968,21890.0
AND,1969,23058.0
AND,1970,24276.0
AND,1971,25559.0
AND,1972,26892.0
AND,1973,28232.0
AND,1974,29520.0
AND,1975,30705.0
AND,1976,31777.0
AND,1977,32771.0
AND,1978,33737.0
AND,1979,34818.0
AND,1980,36067.0
AND,1981,37500.0
AND,1982,39114.0
AND,1983,40867.0
AND,1984,42706.0
AND,1985,44600.0
AND,1986,46517.0
AND,1987,48455.0
AND,1988,50434.0
AND,1989,52448.0
AND,1990,54509.0
AND,1991,56671.0
AND,1992,58888.0
AND,1993,60971.0
AND,1994,62677.0
AND,1995,63850.0
AND,1996,64360.0
AND,1997,64327.0
AND,1998,64142.0
AND,1999,64370.0
AND,2000,65390.0
AND,2001,67341.0
AND,2002,70049.0
AND,2003,73182.0
AND,2004,76244.0
AND,2005,78867.0
AND,2006,80993.0
AND,2007,82684.0
AND,2008,83862.0
AND,2009,84463.0
AND,2010,84449.0
AND,2011,83747.0
AND,2012,82427.0
AND,2013,80774.0
AND,2014,79213.0
AND,2015,78011.0
AND,2016,77297.0
AND,2017,77001.0
AND,2018,77006.0
ARB,1960,92197753.0
ARB,1961,94724510.0
ARB,1962,97334442.0
ARB,1963,100034179.0
ARB,1964,102832760.0
ARB,1965,105736431.0
ARB,1966,108758610.0
ARB,1967,111899364.0
ARB,1968,115136178.0
ARB,1969,118437195.0
ARB,1970,121785650.0
ARB,1971,125164745.0
ARB,1972,128598734.0
ARB,1973,132161298.0
ARB,1974,135952252.0
ARB,1975,140040649.0
ARB,1976,144453278.0
ARB,1977,149161891.0
ARB,1978,154111175.0
ARB,1979,159218552.0
ARB,1980,164420785.0
ARB,1981,169698994.0
ARB,1982,175061792.0
ARB,1983,180505996.0
ARB,1984,186035305.0
ARB,1985,191650331.0
ARB,1986,197338142.0
ARB,1987,203084971.0
ARB,1988,208889682.0
ARB,1989,214753970.0
ARB,1990,222653373.0
ARB,1991,228731685.0
ARB,1992,232956352.0
ARB,1993,239243261.0
ARB,1994,245449409.0
ARB,1995,253107289.0
ARB,1996,259000953.0
ARB,1997,264822188.0
ARB,1998,270575803.0
ARB,1999,276393837.0
ARB,2000,282344154.0
ARB,2001,288432163.0
ARB,2002,294665185.0
ARB,2003,301113849.0
ARB,2004,307862843.0
ARB,2005,314965793.0
ARB,2006,322452754.0
ARB,2007,330290716.0
ARB,2008,338395961.0
ARB,2009,346629220.0
ARB,2010,354890042.0
ARB,2011,363158703.0
ARB,2012,371443547.0
ARB,2013,379705719.0
ARB,2014,387907748.0
ARB,2015,396028278.0
ARB,2016,404024433.0
ARB,2017,411898965.0
ARB,2018,419790588.0
ARE,1960,92418.0
ARE,1961,100796.0
ARE,1962,112118.0
ARE,1963,125130.0
ARE,1964,138039.0
ARE,1965,149857.0
ARE,1966,159976.0
ARE,1967,169771.0
ARE,1968,182627.0
ARE,1969,203106.0
ARE,1970,234514.0
ARE,1971,277471.0
ARE,1972,330974.0
ARE,1973,394624.0
ARE,1974,467451.0
ARE,1975,548301.0
ARE,1976,637922.0
ARE,1977,735344.0
ARE,1978,835508.0
ARE,1979,931749.0
ARE,1980,1019509.0
ARE,1981,1096610.0
ARE,1982,1164806.0
ARE,1983,1228459.0
ARE,1984,1293971.0
ARE,1985,1366164.0
ARE,1986,1446380.0
ARE,1987,1533536.0
ARE,1988,1627066.0
ARE,1989,1725681.0
ARE,1990,1828432.0
ARE,1991,1937153.0
ARE,1992,2052891.0
ARE,1993,2173139.0
ARE,1994,2294385.0
ARE,1995,2415090.0
ARE,1996,2539126.0
ARE,1997,2671362.0
ARE,1998,2813214.0
ARE,1999,2966034.0
ARE,2000,3134062.0
ARE,2001,3302719.0
ARE,2002,3478777.0
ARE,2003,3711932.0
ARE,2004,4068570.0
ARE,2005,4588225.0
ARE,2006,5300174.0
ARE,2007,6168838.0
ARE,2008,7089487.0
ARE,2009,7917372.0
ARE,2010,8549988.0
ARE,2011,8946777.0
ARE,2012,9141596.0
ARE,2013,9197910.0
ARE,2014,9214175.0
ARE,2015,9262900.0
ARE,2016,9360980.0
ARE,2017,9487203.0
ARE,2018,9630959.0
ARG,1960,20481779.0
ARG,1961,20817266.0
ARG,1962,21153052.0
ARG,1963,21488912.0
ARG,1964,21824425.0
ARG,1965,22159650.0
ARG,1966,22494035.0
ARG,1967,22828869.0
ARG,1968,23168267.0
ARG,1969,23517611.0
ARG,1970,23880561.0
ARG,1971,24259561.0
ARG,1972,24653175.0
ARG,1973,25056478.0
ARG,1974,25462302.0
ARG,1975,25865776.0
ARG,1976,26264681.0
ARG,1977,26661398.0
ARG,1978,27061047.0
ARG,1979,27471036.0
ARG,1980,27896528.0
ARG,1981,28338515.0
ARG,1982,28794548.0
ARG,1983,29262047.0
ARG,1984,29737093.0
ARG,1985,30216279.0
ARG,1986,30698964.0
ARG,1987,31184415.0
ARG,1988,31668949.0
ARG,1989,32148134.0
ARG,1990,32618651.0
ARG,1991,33079000.0
ARG,1992,33529326.0
ARG,1993,33970111.0
ARG,1994,34402672.0
ARG,1995,34828170.0
ARG,1996,35246374.0
ARG,1997,35657429.0
ARG,1998,36063459.0
ARG,1999,36467218.0
ARG,2000,36870787.0
ARG,2001,37275652.0
ARG,2002,37681749.0
ARG,2003,38087868.0
ARG,2004,38491972.0
ARG,2005,38892931.0
ARG,2006,39289878.0
ARG,2007,39684295.0
ARG,2008,40080160.0
ARG,2009,40482788.0
ARG,2010,40788453.0
ARG,2011,41261490.0
ARG,2012,41733271.0
ARG,2013,42202935.0
ARG,2014,42669500.0
ARG,2015,43131966.0
ARG,2016,43590368.0
ARG,2017,44044811.0
ARG,2018,44494502.0
ARM,1960,1874121.0
ARM,1961,1941492.0
ARM,1962,2009526.0
ARM,1963,2077578.0
ARM,1964,2145001.0
ARM,1965,2211319.0
ARM,1966,2276034.0
ARM,1967,2339127.0
ARM,1968,2401143.0
ARM,1969,2462928.0
ARM,1970,2525068.0
ARM,1971,2587708.0
ARM,1972,2650486.0
ARM,1973,2712786.0
ARM,1974,2773748.0
ARM,1975,2832759.0
ARM,1976,2889579.0
ARM,1977,2944383.0
ARM,1978,2997417.0
ARM,1979,3049109.0
ARM,1980,3099754.0
ARM,1981,3148096.0
ARM,1982,3193689.0
ARM,1983,3238595.0
ARM,1984,3285599.0
ARM,1985,3335940.0
ARM,1986,3392264.0
ARM,1987,3451947.0
ARM,1988,3504659.0
ARM,1989,3536474.0
ARM,1990,3538171.0
ARM,1991,3505258.0
ARM,1992,3442817.0
ARM,1993,3363108.0
ARM,1994,3283667.0
ARM,1995,3217348.0
ARM,1996,3168221.0
ARM,1997,3133089.0
ARM,1998,3108687.0
ARM,1999,3089022.0
ARM,2000,3069591.0
ARM,2001,3050687.0
ARM,2002,3033978.0
ARM,2003,3017932.0
ARM,2004,3000720.0
ARM,2005,2981269.0
ARM,2006,2958307.0
ARM,2007,2932618.0
ARM,2008,2907618.0
ARM,2009,2888092.0
ARM,2010,2877319.0
ARM,2011,2876538.0
ARM,2012,2884229.0
ARM,2013,2897584.0
ARM,2014,2912403.0
ARM,2015,2925553.0
ARM,2016,2936146.0
ARM,2017,2944809.0
ARM,2018,2951776.0
ASM,1960,20123.0
ASM,1961,20602.0
ASM,1962,21253.0
ASM,1963,22034.0
ASM,1964,22854.0
ASM,1965,23672.0
ASM,1966,24462.0
ASM,1967,25248.0
ASM,1968,25989.0
ASM,1969,26703.0
ASM,1970,27363.0
ASM,1971,27984.0
ASM,1972,28567.0
ASM,1973,29100.0
ASM,1974,29596.0
ASM,1975,30052.0
ASM,1976,30456.0
ASM,1977,30838.0
ASM,1978,31269.0
ASM,1979,31845.0
ASM,1980,32646.0
ASM,1981,33701.0
ASM,1982,34968.0
ASM,1983,36412.0
ASM,1984,37946.0
ASM,1985,39519.0
ASM,1986,41119.0
ASM,1987,42740.0
ASM,1988,44343.0
ASM,1989,45894.0
ASM,1990,47347.0
ASM,1991,48685.0
ASM,1992,49896.0
ASM,1993,51020.0
ASM,1994,52095.0
ASM,1995,53161.0
ASM,1996,54211.0
ASM,1997,55221.0
ASM,1998,56171.0
ASM,1999,57053.0
ASM,2000,57821.0
ASM,2001,58494.0
ASM,2002,59080.0
ASM,2003,59504.0
ASM,2004,59681.0
ASM,2005,59562.0
ASM,2006,59107.0
ASM,2007,58365.0
ASM,2008,57492.0
ASM,2009,56683.0
ASM,2010,56079.0
ASM,2011,55759.0
ASM,2012,55667.0
ASM,2013,55713.0
ASM,2014,55791.0
ASM,2015,55812.0
ASM,2016,55741.0
ASM,2017,55620.0
ASM,2018,55465.0
ATG,1960,54131.0
ATG,1961,55001.0
ATG,1962,55841.0
ATG,1963,56702.0
ATG,1964,57641.0
ATG,1965,58698.0
ATG,1966,59915.0
ATG,1967,61241.0
ATG,1968,62521.0
ATG,1969,63550.0
ATG,1970,64177.0
ATG,1971,64357.0
ATG,1972,64133.0
ATG,1973,63650.0
ATG,1974,63120.0
ATG,1975,62675.0
ATG,1976,62367.0
ATG,1977,62159.0
ATG,1978,62036.0
ATG,1979,61952.0
ATG,1980,61865.0
ATG,1981,61800.0
ATG,1982,61779.0
ATG,1983,61787.0
ATG,1984,61786.0
ATG,1985,61786.0
ATG,1986,61754.0
ATG,1987,61717.0
ATG,1988,61771.0
ATG,1989,62008.0
ATG,1990,62528.0
ATG,1991,63367.0
ATG,1992,64471.0
ATG,1993,65777.0
ATG,1994,67204.0
ATG,1995,68670.0
ATG,1996,70173.0
ATG,1997,71704.0
ATG,1998,73224.0
ATG,1999,74674.0
ATG,2000,76016.0
ATG,2001,77212.0
ATG,2002,78295.0
ATG,2003,79300.0
ATG,2004,80336.0
ATG,2005,81465.0
ATG,2006,82704.0
ATG,2007,84026.0
ATG,2008,85397.0
ATG,2009,86746.0
ATG,2010,88028.0
ATG,2011,89253.0
ATG,2012,90409.0
ATG,2013,91516.0
ATG,2014,92562.0
ATG,2015,93566.0
ATG,2016,94527.0
ATG,2017,95426.0
ATG,2018,96286.0
AUS,1960,10276477.0
AUS,1961,10483000.0
AUS,1962,10742000.0
AUS,1963,10950000.0
AUS,1964,11167000.0
AUS,1965,11388000.0
AUS,1966,11651000.0
AUS,1967,11799000.0
AUS,1968,12009000.0
AUS,1969,12263000.0
AUS,1970,12507000.0
AUS,1971,12937000.0
AUS,1972,13177000.0
AUS,1973,13380000.0
AUS,1974,13723000.0
AUS,1975,13893000.0
AUS,1976,14033000.0
AUS,1977,14192000.0
AUS,1978,14358000.0
AUS,1979,14514000.0
AUS,1980,14692000.0
AUS,1981,14927000.0
AUS,1982,15178000.0
AUS,1983,15369000.0
AUS,1984,15544000.0
AUS,1985,15758000.0
AUS,1986,16018400.0
AUS,1987,16263900.0
AUS,1988,16532200.0
AUS,1989,16814400.0
AUS,1990,17065100.0
AUS,1991,17284000.0
AUS,1992,17495000.0
AUS,1993,17667000.0
AUS,1994,17855000.0
AUS,1995,18072000.0
AUS,1996,18311000.0
AUS,1997,18517000.0
AUS,1998,18711000.0
AUS,1999,18926000.0
AUS,2000,19153000.0
AUS,2001,19413000.0
AUS,2002,19651400.0
AUS,2003,19895400.0
AUS,2004,20127400.0
AUS,2005,20394800.0
AUS,2006,20697900.0
AUS,2007,20827600.0
AUS,2008,21249200.0
AUS,2009,21691700.0
AUS,2010,22031750.0
AUS,2011,22340024.0
AUS,2012,22733465.0
AUS,2013,23128129.0
AUS,2014,23475686.0
AUS,2015,23815995.0
AUS,2016,24190907.0
AUS,2017,24601860.0
AUS,2018,24982688.0
AUT,1960,7047539.0
AUT,1961,7086299.0
AUT,1962,7129864.0
AUT,1963,7175811.0
AUT,1964,7223801.0
AUT,1965,7270889.0
AUT,1966,7322066.0
AUT,1967,7376998.0
AUT,1968,7415403.0
AUT,1969,7441055.0
AUT,1970,7467086.0
AUT,1971,7500482.0
AUT,1972,7544201.0
AUT,1973,7586115.0
AUT,1974,7599038.0
AUT,1975,7578903.0
AUT,1976,7565525.0
AUT,1977,7568430.0
AUT,1978,7562305.0
AUT,1979,7549425.0
AUT,1980,7549433.0
AUT,1981,7568710.0
AUT,1982,7574140.0
AUT,1983,7561910.0
AUT,1984,7561434.0
AUT,1985,7564985.0
AUT,1986,7569794.0
AUT,1987,7574586.0
AUT,1988,7585317.0
AUT,1989,7619567.0
AUT,1990,7677850.0
AUT,1991,7754891.0
AUT,1992,7840709.0
AUT,1993,7905633.0
AUT,1994,7936118.0
AUT,1995,7948278.0
AUT,1996,7959017.0
AUT,1997,7968041.0
AUT,1998,7976789.0
AUT,1999,7992324.0
AUT,2000,8011566.0
AUT,2001,8042293.0
AUT,2002,8081957.0
AUT,2003,8121423.0
AUT,2004,8171966.0
AUT,2005,8227829.0
AUT,2006,8268641.0
AUT,2007,8295487.0
AUT,2008,8321496.0
AUT,2009,8343323.0
AUT,2010,8363404.0
AUT,2011,8391643.0
AUT,2012,8429991.0
AUT,2013,8479823.0
AUT,2014,8546356.0
AUT,2015,8642699.0
AUT,2016,8736668.0
AUT,2017,8797566.0
AUT,2018,8840521.0
AZE,1960,3895397.0
AZE,1961,4030322.0
AZE,1962,4171426.0
AZE,1963,4315127.0
AZE,1964,4456687.0
AZE,1965,4592609.0
AZE,1966,4721523.0
AZE,1967,4843868.0
AZE,1968,4960232.0
AZE,1969,5071927.0
AZE,1970,5180023.0
AZE,1971,5284531.0
AZE,1972,5385263.0
AZE,1973,5483082.0
AZE,1974,5579072.0
AZE,1975,5674133.0
AZE,1976,5768721.0
AZE,1977,5863132.0
AZE,1978,5957925.0
AZE,1979,6053640.0
AZE,1980,6150733.0
AZE,1981,6249314.0
AZE,1982,6349553.0
AZE,1983,6452069.0
AZE,1984,6557581.0
AZE,1985,6666447.0
AZE,1986,6778624.0
AZE,1987,6893489.0
AZE,1988,7010027.0
AZE,1989,7126881.0
AZE,1990,7159000.0
AZE,1991,7271000.0
AZE,1992,7382000.0
AZE,1993,7495000.0
AZE,1994,7597000.0
AZE,1995,7685000.0
AZE,1996,7763000.0
AZE,1997,7838250.0
AZE,1998,7913000.0
AZE,1999,7982750.0
AZE,2000,8048600.0
AZE,2001,8111200.0
AZE,2002,8171950.0
AZE,2003,8234100.0
AZE,2004,8306500.0
AZE,2005,8391850.0
AZE,2006,8484550.0
AZE,2007,8581300.0
AZE,2008,8763400.0
AZE,2009,8947243.0
AZE,2010,9054332.0
AZE,2011,9173082.0
AZE,2012,9295784.0
AZE,2013,9416801.0
AZE,2014,9535079.0
AZE,2015,9649341.0
AZE,2016,9757812.0
AZE,2017,9854033.0
AZE,2018,9939800.0
BDI,1960,2797932.0
BDI,1961,2852438.0
BDI,1962,2907321.0
BDI,1963,2964427.0
BDI,1964,3026290.0
BDI,1965,3094379.0
BDI,1966,3170490.0
BDI,1967,3253218.0
BDI,1968,3336927.0
BDI,1969,3413904.0
BDI,1970,3479074.0
BDI,1971,3529997.0
BDI,1972,3569666.0
BDI,1973,3605126.0
BDI,1974,3646431.0
BDI,1975,3700880.0
BDI,1976,3770871.0
BDI,1977,3854445.0
BDI,1978,3949266.0
BDI,1979,4051234.0
BDI,1980,4157298.0
BDI,1981,4266520.0
BDI,1982,4379724.0
BDI,1983,4497533.0
BDI,1984,4621103.0
BDI,1985,4750837.0
BDI,1986,4886743.0
BDI,1987,5027138.0
BDI,1988,5168698.0
BDI,1989,5307069.0
BDI,1990,5438957.0
BDI,1991,5564926.0
BDI,1992,5685565.0
BDI,1993,5798053.0
BDI,1994,5898967.0
BDI,1995,5987043.0
BDI,1996,6060111.0
BDI,1997,6122130.0
BDI,1998,6185562.0
BDI,1999,6267124.0
BDI,2000,6378871.0
BDI,2001,6525545.0
BDI,2002,6704113.0
BDI,2003,6909154.0
BDI,2004,7131693.0
BDI,2005,7364862.0
BDI,2006,7607849.0
BDI,2007,7862214.0
BDI,2008,8126102.0
BDI,2009,8397668.0
BDI,2010,8675602.0
BDI,2011,8958406.0
BDI,2012,9245988.0
BDI,2013,9540289.0
BDI,2014,9844297.0
BDI,2015,10160030.0
BDI,2016,10487998.0
BDI,2017,10827024.0
BDI,2018,11175378.0
BEL,1960,9153489.0
BEL,1961,9183948.0
BEL,1962,9220578.0
BEL,1963,9289770.0
BEL,1964,9378113.0
BEL,1965,9463667.0
BEL,1966,9527807.0
BEL,1967,9580991.0
BEL,1968,9618756.0
BEL,1969,9646032.0
BEL,1970,9655549.0
BEL,1971,9673162.0
BEL,1972,9711115.0
BEL,1973,9741720.0
BEL,1974,9772419.0
BEL,1975,9800700.0
BEL,1976,9818227.0
BEL,1977,9830358.0
BEL,1978,9839534.0
BEL,1979,9848382.0
BEL,1980,9859242.0
BEL,1981,9858982.0
BEL,1982,9856303.0
BEL,1983,9855520.0
BEL,1984,9855372.0
BEL,1985,9858308.0
BEL,1986,9861823.0
BEL,1987,9870234.0
BEL,1988,9901664.0
BEL,1989,9937697.0
BEL,1990,9967379.0
BEL,1991,10004486.0
BEL,1992,10045158.0
BEL,1993,10084475.0
BEL,1994,10115603.0
BEL,1995,10136811.0
BEL,1996,10156637.0
BEL,1997,10181245.0
BEL,1998,10203008.0
BEL,1999,10226419.0
BEL,2000,10251250.0
BEL,2001,10286570.0
BEL,2002,10332785.0
BEL,2003,10376133.0
BEL,2004,10421137.0
BEL,2005,10478617.0
BEL,2006,10547958.0
BEL,2007,10625700.0
BEL,2008,10709973.0
BEL,2009,10796493.0
BEL,2010,10895586.0
BEL,2011,11038264.0
BEL,2012,11106932.0
BEL,2013,11159407.0
BEL,2014,11209057.0
BEL,2015,11274196.0
BEL,2016,11331422.0
BEL,2017,11375158.0
BEL,2018,11433256.0
BEN,1960,2431622.0
BEN,1961,2465867.0
BEN,1962,2502896.0
BEN,1963,2542859.0
BEN,1964,2585965.0
BEN,1965,2632356.0
BEN,1966,2682159.0
BEN,1967,2735307.0
BEN,1968,2791590.0
BEN,1969,2850661.0
BEN,1970,2912340.0
BEN,1971,2976572.0
BEN,1972,3043567.0
BEN,1973,3113675.0
BEN,1974,3187412.0
BEN,1975,3265165.0
BEN,1976,3347173.0
BEN,1977,3433439.0
BEN,1978,3523938.0
BEN,1979,3618526.0
BEN,1980,3717165.0
BEN,1981,3820128.0
BEN,1982,3927714.0
BEN,1983,4039949.0
BEN,1984,4156819.0
BEN,1985,4278501.0
BEN,1986,4404506.0
BEN,1987,4535263.0
BEN,1988,4672852.0
BEN,1989,4820016.0
BEN,1990,4978496.0
BEN,1991,5149499.0
BEN,1992,5331803.0
BEN,1993,5521763.0
BEN,1994,5714220.0
BEN,1995,5905558.0
BEN,1996,6094259.0
BEN,1997,6281639.0
BEN,1998,6470265.0
BEN,1999,6664098.0
BEN,2000,6865951.0
BEN,2001,7076733.0
BEN,2002,7295394.0
BEN,2003,7520555.0
BEN,2004,7750004.0
BEN,2005,7982225.0
BEN,2006,8216897.0
BEN,2007,8454793.0
BEN,2008,8696921.0
BEN,2009,8944708.0
BEN,2010,9199259.0
BEN,2011,9460830.0
BEN,2012,9729248.0
BEN,2013,10004588.0
BEN,2014,10286842.0
BEN,2015,10575952.0
BEN,2016,10872067.0
BEN,2017,11175204.0
BEN,2018,11485048.0
BFA,1960,4829288.0
BFA,1961,4894580.0
BFA,1962,4960326.0
BFA,1963,5027821.0
BFA,1964,5098890.0
BFA,1965,5174870.0
BFA,1966,5256363.0
BFA,1967,5343019.0
BFA,1968,5434041.0
BFA,1969,5528174.0
BFA,1970,5624600.0
BFA,1971,5723381.0
BFA,1972,5825173.0
BFA,1973,5930483.0
BFA,1974,6040041.0
BFA,1975,6154545.0
BFA,1976,6274037.0
BFA,1977,6398935.0
BFA,1978,6530819.0
BFA,1979,6671656.0
BFA,1980,6822843.0
BFA,1981,6985160.0
BFA,1982,7158255.0
BFA,1983,7340905.0
BFA,1984,7531242.0
BFA,1985,7727907.0
BFA,1986,7930694.0
BFA,1987,8140073.0
BFA,1988,8356305.0
BFA,1989,8579823.0
BFA,1990,8811034.0
BFA,1991,9050084.0
BFA,1992,9297113.0
BFA,1993,9552476.0
BFA,1994,9816588.0
BFA,1995,10089878.0
BFA,1996,10372745.0
BFA,1997,10665546.0
BFA,1998,10968724.0
BFA,1999,11282701.0
BFA,2000,11607942.0
BFA,2001,11944587.0
BFA,2002,12293100.0
BFA,2003,12654621.0
BFA,2004,13030569.0
BFA,2005,13421930.0
BFA,2006,13829176.0
BFA,2007,14252021.0
BFA,2008,14689725.0
BFA,2009,15141098.0
BFA,2010,15605217.0
BFA,2011,16081911.0
BFA,2012,16571246.0
BFA,2013,17072775.0
BFA,2014,17586017.0
BFA,2015,18110624.0
BFA,2016,18646378.0
BFA,2017,19193284.0
BFA,2018,19751535.0
BGD,1960,48013504.0
BGD,1961,49362843.0
BGD,1962,50752157.0
BGD,1963,52202007.0
BGD,1964,53741716.0
BGD,1965,55385112.0
BGD,1966,57157654.0
BGD,1967,59034249.0
BGD,1968,60918454.0
BGD,1969,62679765.0
BGD,1970,64232482.0
BGD,1971,65531633.0
BGD,1972,66625705.0
BGD,1973,67637530.0
BGD,1974,68742233.0
BGD,1975,70066301.0
BGD,1976,71652381.0
BGD,1977,73463584.0
BGD,1978,75450032.0
BGD,1979,77529045.0
BGD,1980,79639491.0
BGD,1981,81767515.0
BGD,1982,83932127.0
BGD,1983,86142495.0
BGD,1984,88416521.0
BGD,1985,90764183.0
BGD,1986,93187603.0
BGD,1987,95671163.0
BGD,1988,98186350.0
BGD,1989,100695497.0
BGD,1990,103171956.0
BGD,1991,105599127.0
BGD,1992,107983704.0
BGD,1993,110350639.0
BGD,1994,112737683.0
BGD,1995,115169930.0
BGD,1996,117649932.0
